CODIGO;ENTIDAD;NOMBRE FANTASIA;DIRECCION;COMUNA;HORARIO REFERENCIAL;ESTE;NORTE;LONGITUD;LATITUD
92777;Fullcarga;LA ESQUINA DEL PAISA;ROMA  2702;CONCHALI;;343887;6302959;-70.6786900925926;-33.4012336111111
92784;Fullcarga;MINIMARKET LOS QUEÑES;INCAHUASI (AV.SUR 548) 751;MAIPU;;336279;6289565;-70.7634858895685;-33.5212487475238
92805;Fullcarga;BAZAR LEO;AVENIDA GOYCOLEA  0683;LA CISTERNA;;344510;6287892;-70.67460439716311;-33.5371564893617
92816;Fullcarga;BAZAR TATAY;CARELMAPU  14671 ;SAN BERNARDO;;343924;6281548;-70.68203166249289;-33.59427457434968
92817;Fullcarga;ALBIN FREDDY;EDUARDO ANGUITA  1127;SAN BERNARDO;;344137;6280828;-70.67985732952381;-33.600794890158724
92824;Fullcarga;RIGOLETTO;PROVIDENCIA 1769;PROVIDENCIA;;349843;6300295;-70.61511369252872;-33.42609745402301
92832;Fullcarga;LOS MAQUIS;AVDA OBSERVATORIO  1055 A Y B;EL BOSQUE;;345641;6285256;-70.663657;-33.561342
92834;Fullcarga;CUATRO HERMANOS EL BOSQUE;CALLE CLAUDIO ARRAU  110 B;EL BOSQUE;;343987;6284898;-70.68152523;-33.56436843
92835;Fullcarga;PACOVI EL BOSQUE;CALLE CLAUDIO ARRAU  326 ;EL BOSQUE;;344166;6284867;-70.67960176;-33.56466793
92837;Fullcarga;ANA MARIA SILVA DODERO EL;CALLE MACHALI   9725;EL BOSQUE;;344363;6286881;-70.6770749;-33.5464644
92838;Fullcarga;LEONOR CRUCES;AVDA PADRE HURTADO  9857;EL BOSQUE;;344786;6284444;-70.67299934;-33.56857722
92839;Fullcarga;MAKAI EL BOSQUE;CALLE RIO RAPEL  13212 ;EL BOSQUE;;344902;6283069;-70.67198455;-33.58099142
92840;Fullcarga;DONDE MIS QUERIDOS VIEJOS;AVDA OBSERVATORIO  1196 -B;EL BOSQUE;;345705;6285249;-70.662219;-33.561281
